"ID";"w1_q1";"w1_q2";"w1_q3";"w1_q3_txt";"w1_q4x1";"w1_q4x2";"w1_q4x3";"w1_q4x4";"w1_q4x5";"w1_q4x6";"w1_q4x7";"w1_q4x8";"w1_q5x1";"w1_q5x2";"w1_q5x3";"w1_q5x4";"w1_q17x1";"w1_q17x2";"w1_q17x3";"w1_q17x4";"w1_q17x5";"w1_q17x6";"w1_q18x1";"w1_q18x2";"w1_q18x3";"w1_q18x4";"w1_q18x5";"w1_q18x6";"w1_q19";"w1_q20";"w1_q21";"w1_q52x1";"w1_q52x2";"w1_q52x3";"w1_q52x4";"w1_q52x5";"w1_q53x1";"w1_q53x2";"w1_q53x3";"w1_q53x4";"w1_q53x5";"w1_q56";"w1_q64";"w1_q73";"w1_q74";"w3_q1";"w3_q2";"w3_q3";"w3_q4";"w3_q5";"w3_q6";"w3_q7";"w3_q8";"w3_q9x1";"w3_q9x2";"w3_q9x3";"w3_q9x4";"w3_q9x5";"w3_q9x6";"w3_q9x6_txt";"w3_q9x7";"w3_q10";"w3_q11";"w3_q12";"w3_q13";"w3_q14";"w3_q15";"w3_q16";"w3_q17";"w3_q18";"w3_q19";"w3_q20";"w3_q21";"w3_q22";"w3_q23";"w3_q24";"w3_q25";"w3_q31";"w3_q32";"w3_q35";"w3_q36";"PE_w3_pe_emissions";"PE_w3_pe_timer_submit";"PE_w3_pe_click_count";"PE_w3_pe_change";"PE_w3_q59";"PE_w3_q60";"PE_w3_q61"
17;1982;"male";"higher technical / vocational training (eg federal certificate, master craftsmans diploma)";NA;"employed, in the public sector (municipality, canton, federal government)";NA;NA;NA;NA;NA;NA;NA;"full time";NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5 days";NA;"yes, 5 days per week";"disagree strongly";"disagree strongly";"disagree strongly";"disagree strongly";"disagree";"disagree strongly";"disagree strongly";"disagree strongly";"disagree strongly";"disagree strongly";"9";"good";"6001 to 8000 chf";"8001 to 10000 chf";"yes";"i own a car";"diesel engine";"large suv, van, truck, sports car (eg vw tiguan, seat ateca, porsche 911)";"20000";10000;"never";NA;NA;NA;NA;NA;NA;NA;NA;"selected";"i have flown or plan to fly in 2022";0;0;1;"never";NA;NA;NA;"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"yes";"detached house";"built / refurbished since 2010";4;160;"heating pump";"no";"not at all worried";"not at all 0";"1";"not at all confident 0";14.42;70.406;28;"emissions have changed";"no";"8";"9"
18;1986;"female";"university of applied sciences, university of education";NA;"employed, in the public sector (municipality, canton, federal government)";NA;NA;NA;NA;NA;NA;NA;"part time";NA;NA;NA;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5 days";NA;"yes, 5 days per week";"disagree strongly";"agree";"agree";NA;"disagree";"agree";NA;"agree";"agree";"agree";"3";"fair";"4001 to 6000 chf";"4001 to 6000 chf";"yes";"i own a car";"petrol (gas) engine";"compact hatchback (eg vw polo, skoda fabia, renault zoe)";"6000";10000;"never";NA;NA;NA;NA;NA;NA;NA;NA;"selected";"i have flown or plan to fly in 2022";0;2;0;"rarely";0;0;NA;"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"no";"flat / apartment";"built / refurbished between 1980 and 2010";1;75;"heating oil";"no";"not very worried";"2";"5";"3";23.09;126.438;44;"emissions have changed";NA;"7";"3"
20;1975;"female";"university of applied sciences, university of education";NA;NA;"employed, in the private sector";NA;NA;NA;NA;NA;NA;NA;"full time";NA;NA;NA;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5 days";NA;"yes, 5 days per week";"agree";"strongly agree";"agree";"agree";"disagree";"agree";"agree";"agree";"neither agree nor disagree";"disagree";"3";"very good";"8001 to 10000 chf";"8001 to 10000 chf";"yes";"i am a member of a car-sharing organization (eg mobility)";"(plug-in) hybrid combinaton of electric motor and petrol or diesel engine";"compact hatchback (eg vw polo, skoda fabia, renault zoe)";NA;1000;"5 days per week";70;NA;NA;"selected";NA;NA;NA;NA;NA;"i have flown or plan to fly in 2022";0;10;0;"never";NA;NA;NA;"flexitarian (eg limited meat, cheese, eggs, fruits, vegetables, nuts, grains)";"no";"flat / apartment";"built / refurbished since 2010";1;75;NA;"no";"very worried";"7";"5";"5";29.92;82.774;20;"emissions have changed";"yes";"6";"5"
23;1992;"female";"university / eth";NA;"employed, in the public sector (municipality, canton, federal government)";NA;NA;NA;NA;NA;NA;NA;"part time";NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4 days";NA;"no, i do not have the possibility to work at home";"strongly agree";"strongly agree";"agree";"strongly agree";"agree";"strongly agree";"agree";"agree";"agree";"strongly agree";"2";"good";"2001 to 4000 chf";"4001 to 6000 chf";"no";NA;NA;NA;NA;NA;"7 days per week";100;"selected";NA;NA;NA;NA;NA;NA;NA;"i have flown or plan to fly in 2022";0;2;0;"rarely";0;0;NA;"flexitarian (eg limited meat, cheese, eggs, fruits, vegetables, nuts, grains)";"no";"flat / apartment";"built / refurbished between 1980 and 2010";2;50;NA;"no";"very worried";"3";NA;NA;13.86;87.684;23;"emissions have changed";NA;"7";"7"
25;1998;"female";"matura, vocational school certificate";NA;NA;NA;NA;NA;"in training (school, university, apprenticeship)";NA;NA;NA;NA;NA;NA;"full time";NA;NA;NA;NA;NA;NA;169;144;NA;NA;NA;NA;NA;"2 days";"yes, 5 days per week";"strongly agree";"strongly agree";"agree";"strongly agree";"agree";"agree";"strongly agree";"strongly agree";"disagree";"agree";"2";"very good";"under 2000 chf";"8001 to 10000 chf";"no";NA;NA;NA;NA;NA;"2 days per week";300;"selected";NA;NA;NA;NA;NA;NA;NA;"i have flown or plan to fly in 2022";1;0;0;"several times a week";5;0;NA;"flexitarian (eg limited meat, cheese, eggs, fruits, vegetables, nuts, grains)";"yes";"detached house";"built / refurbished between 1980 and 2010";4;300;"heating pump";"no";"very worried";"7";"7";"8";10.92;69.43;19;"emissions have changed";NA;"6";"2"
28;1970;"female";"higher technical / vocational training (eg federal certificate, master craftsmans diploma)";NA;NA;"employed, in the private sector";NA;NA;NA;NA;NA;NA;NA;"full time";NA;NA;NA;50;NA;NA;1.5;NA;NA;NA;NA;NA;NA;NA;"4 days";NA;"yes, 1 days per week";"strongly agree";"agree";"strongly agree";"strongly agree";"disagree";"agree";"agree";"agree";"neither agree nor disagree";"agree";"5";"very good";"6001 to 8000 chf";"6001 to 8000 chf";"yes";"i own a car";"petrol (gas) engine";"intermediate sedan, combi (eg skoda octavia, mercedes-benz a-klasse, vw golf)";"36000";15000;"2 days per week";200;NA;"selected";NA;NA;NA;NA;NA;NA;"i have flown or plan to fly in 2022";1;0;0;"several times a month";20;0;NA;"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"no";"flat / apartment";"built / refurbished between 1980 and 2010";2;97;"heating oil";"no";"very worried";"8";"8";"8";26.12;222.656;39;"emissions have changed";"yes";"1";"7"
29;1952;"female";"vocational apprenticeship, vocational school, secondary vocational school";NA;NA;NA;NA;NA;NA;NA;"pensioner, retired (ie ahv, iv)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"agree";"agree";"agree";"agree";"strongly agree";"agree";"agree";"agree";"neither agree nor disagree";"neither agree nor disagree";"5";"good";"4001 to 6000 chf";"8001 to 10000 chf";"yes";"i own a car";"diesel engine";"intermediate sedan, combi (eg skoda octavia, mercedes-benz a-klasse, vw golf)";"14000";5000;"1 day per week";4;NA;"selected";NA;NA;NA;NA;NA;NA;"i have flown or plan to fly in 2022";0;1;0;"never";NA;NA;NA;"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"no";"flat / apartment";"built / refurbished before 1980 (old)";1;100;"heating pump";"yes";"extremely worried";"8";"5";NA;10.2;223.265;28;"emissions have changed";NA;"6";"4"
30;1950;"male";"vocational apprenticeship, vocational school, secondary vocational school";NA;NA;NA;NA;NA;NA;NA;"pensioner, retired (ie ahv, iv)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"agree";"agree";"disagree";"agree";"agree";"neither agree nor disagree";"neither agree nor disagree";"disagree";"disagree";"disagree";"6";"fair";"6001 to 8000 chf";"6001 to 8000 chf";"yes";"i own a car";"petrol (gas) engine";"large suv, van, truck, sports car (eg vw tiguan, seat ateca, porsche 911)";"20000";4000;"1 day per week";15;NA;"selected";NA;NA;NA;NA;NA;NA;"i have not flown and do not plan to fly in 2022";NA;NA;NA;"never";NA;NA;NA;"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"yes";"flat / apartment";"built / refurbished since 2010";1;120;NA;"yes";"somewhat worried";"3";"2";"2";15.7;43.263;5;"emissions have changed";NA;"5";"5"
32;1977;"female";"university of applied sciences, university of education";NA;"employed, in the public sector (municipality, canton, federal government)";NA;NA;NA;NA;NA;NA;NA;"full time";NA;NA;NA;NA;22;22;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5 days";NA;"no, i do not have the possibility to work at home";"strongly agree";"neither agree nor disagree";"neither agree nor disagree";"strongly agree";"neither agree nor disagree";"strongly agree";"agree";"strongly agree";"strongly agree";"agree";"5";"bad";"6001 to 8000 chf";"under 2000 chf";"no";NA;NA;NA;NA;NA;"6 days per week";420;NA;"selected";"selected";NA;NA;NA;NA;NA;"i have not flown and do not plan to fly in 2022";NA;NA;NA;"several times a week";65;65;"e-bike (up to 500w engine and electric assistance up to 25km / h)";"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"no";"flat / apartment";"built / refurbished since 2010";1;105;"heating pump";"yes";"somewhat worried";"5";"6";"5";5.39;29.299;12;"emissions have changed";NA;"4";"1"
33;1960;"male";"higher technical / vocational training (eg federal certificate, master craftsmans diploma)";NA;NA;"employed, in the private sector";NA;NA;NA;NA;NA;NA;NA;"full time";NA;NA;NA;NA;NA;NA;NA;"i do not have a fixed place of work";NA;NA;NA;NA;NA;NA;NA;NA;"yes, 6 days per week";"disagree strongly";"disagree";"agree";"neither agree nor disagree";"agree";"disagree strongly";"disagree";"disagree strongly";"neither agree nor disagree";"disagree strongly";"5";"good";"2001 to 4000 chf";"4001 to 6000 chf";"yes";"i have a company car";"diesel engine";"intermediate sedan, combi (eg skoda octavia, mercedes-benz a-klasse, vw golf)";NA;26000;"never";NA;NA;NA;NA;NA;NA;NA;NA;"selected";"i have flown or plan to fly in 2022";0;2;0;"never";NA;NA;NA;"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"no";"flat / apartment";"built / refurbished before 1980 (old)";2;80;"wood or wood pellets";"no";"not very worried";"6";"4";"2";12.32;97.123;6;"no change to emissions";"no";"3";"6"
34;1945;"male";"vocational apprenticeship, vocational school, secondary vocational school";NA;NA;NA;NA;NA;NA;NA;"pensioner, retired (ie ahv, iv)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"agree";"agree";"agree";"strongly agree";"agree";"agree";"disagree strongly";"agree";"disagree";"strongly agree";"5";"bad";NA;NA;"yes";"i own a car";"petrol (gas) engine";"intermediate sedan, combi (eg skoda octavia, mercedes-benz a-klasse, vw golf)";"4000";7000;"never";NA;NA;"selected";NA;NA;NA;NA;NA;NA;"i have not flown and do not plan to fly in 2022";NA;NA;NA;"never";NA;NA;NA;"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"yes";"detached house";"built / refurbished before 1980 (old)";2;74;"heating oil";"no";"very worried";"5";NA;NA;32.97;121.282;10;"emissions have changed";NA;"8";"5"
35;1996;"male";"university / eth";NA;NA;"employed, in the private sector";NA;NA;NA;NA;NA;NA;NA;"full time";NA;NA;0;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;"3 days";NA;"yes, 2 days per week";"agree";"strongly agree";"agree";"agree";"agree";"strongly agree";"agree";"agree";"agree";"disagree";"3";"good";"4001 to 6000 chf";"6001 to 8000 chf";"no";NA;NA;NA;NA;NA;"5 days per week";8;NA;"selected";"selected";NA;NA;NA;NA;NA;"i have flown or plan to fly in 2022";0;0;1;"several times a week";8;0;NA;"flexitarian (eg limited meat, cheese, eggs, fruits, vegetables, nuts, grains)";"no";"flat / apartment";"built / refurbished since 2010";1;72;NA;"no";"very worried";"7";"5";"4";16.16;21.411;12;"emissions have changed";NA;"7";"7"
36;1973;"male";"higher technical / vocational training (eg federal certificate, master craftsmans diploma)";NA;NA;"employed, in the private sector";NA;NA;NA;NA;NA;NA;NA;"full time";NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5 days";NA;"yes, 5 days per week";"disagree strongly";"disagree strongly";"disagree strongly";"agree";"disagree strongly";"disagree strongly";"disagree strongly";"disagree";"disagree strongly";"strongly agree";"7";"good";"4001 to 6000 chf";"6001 to 8000 chf";"yes";"i own a car";"petrol (gas) engine";"large suv, van, truck, sports car (eg vw tiguan, seat ateca, porsche 911)";"10000";26000;"never";NA;NA;NA;NA;NA;NA;NA;NA;"selected";"i have not flown and do not plan to fly in 2022";NA;NA;NA;"daily";5;0;NA;"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"yes";"flat / apartment";"built / refurbished between 1980 and 2010";4;150;"natural gas";"no";"somewhat worried";"1";"2";"not at all confident 0";31.36;10.142;4;"no change to emissions";"no";"9";"extremely difficult 10"
38;1953;"male";"university of applied sciences, university of education";NA;NA;NA;NA;NA;NA;NA;"pensioner, retired (ie ahv, iv)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"agree";"agree";"disagree strongly";"strongly agree";"strongly agree";"strongly agree";"strongly agree";"strongly agree";"agree";"agree";"3";"very good";"4001 to 6000 chf";"8001 to 10000 chf";"yes";"i am a member of a car-sharing organization (eg mobility)";"petrol (gas) engine";"compact hatchback (eg vw polo, skoda fabia, renault zoe)";NA;1000;"7 days per week";200;"selected";NA;NA;NA;NA;NA;NA;NA;"i have not flown and do not plan to fly in 2022";NA;NA;NA;"daily";50;0;NA;"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"yes";"flat / apartment";"built / refurbished since 2010";2;107;"natural gas";"yes";"somewhat worried";"a great deal 10";"7";"5";13.61;117.615;11;"emissions have changed";"no";"5";"not at all difficult 0"
41;1956;"male";"university / eth";NA;NA;"employed, in the private sector";"employed, self-employed";NA;NA;NA;NA;NA;NA;"part time";"part time";NA;30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5 days";NA;"no, i do not have the possibility to work at home";"agree";"strongly agree";"agree";"strongly agree";"agree";"strongly agree";"strongly agree";"strongly agree";"strongly agree";"neither agree nor disagree";"1";"good";"10001 to 12000 chf";"12001 to 14000 chf";"yes";"i own a car";"petrol (gas) engine";"intermediate sedan, combi (eg skoda octavia, mercedes-benz a-klasse, vw golf)";"20000";12000;"1 day per week";5;NA;"selected";NA;NA;NA;NA;NA;NA;"i have flown or plan to fly in 2022";0;1;0;"several times a month";0;40;"e-bike (up to 500w engine and electric assistance up to 25km / h)";"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"yes";"detached house";"built / refurbished between 1980 and 2010";2;180;"heating pump";"yes";"very worried";"8";"5";"3";11.41;354.072;55;"emissions have changed";NA;"3";"6"
43;1964;"female";"matura, vocational school certificate";NA;NA;"employed, in the private sector";NA;NA;NA;NA;NA;NA;NA;"full time";NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5 days";NA;"yes, 5 days per week";NA;"neither agree nor disagree";"agree";"agree";"strongly agree";"neither agree nor disagree";"neither agree nor disagree";"disagree strongly";"disagree strongly";"disagree";"7";"good";NA;NA;"yes";"i own a car";"diesel engine";"large suv, van, truck, sports car (eg vw tiguan, seat ateca, porsche 911)";"8000";20000;"1 day per week";10;NA;NA;NA;NA;NA;NA;NA;"selected";"i have flown or plan to fly in 2022";10;10;1;"never";NA;NA;NA;"omnivore (eg meat, cheese, eggs, fruits, vegetables, nuts, grains)";"no";"flat / apartment";"built / refurbished since 2010";1;67;"heating pump";"no";"somewhat worried";"5";"5";"5";40.72;58.098;15;"emissions have changed";NA;"5";"5"
